order_id,customer_id,order_date,order_status,payment_method,shipping_cost
1,4232,2021-01-13 02:53:22,Completed,Debit Card,18.92
2,986,2024-02-28 14:34:03,Completed,Google Pay,8.96
3,2596,2023-07-13 18:10:38,Completed,Debit Card,5.26
4,744,2024-04-23 21:57:46,Completed,PayPal,11.95
5,4168,2020-12-13 22:45:18,Completed,Apple Pay,0.4
6,3114,2023-07-28 22:30:37,Completed,Apple Pay,24.04
7,820,2023-01-06 22:56:22,Completed,PayPal,23.64
8,535,2023-09-10 20:29:12,Completed,PayPal,5.73
9,692,2023-04-25 17:06:34,Completed,Apple Pay,0.4
10,2251,2022-10-01 08:49:41,Completed,Credit Card,3.52
11,2040,2021-07-05 00:47:58,Completed,Google Pay,0.23
12,4249,2021-04-28 22:10:54,Completed,Debit Card,17.38
13,320,2020-07-09 02:01:13,Completed,Google Pay,20.06
14,2401,2023-02-28 20:15:42,Completed,Google Pay,10.37
15,1291,2023-07-26 12:44:12,Completed,Debit Card,4.37
16,4249,2021-04-15 07:44:53,Completed,Debit Card,9.13
17,897,2021-05-19 11:27:42,Completed,Credit Card,12.44
18,2508,2023-06-08 02:38:44,Cancelled,PayPal,22.72
19,2173,2022-09-24 12:55:06,Completed,Credit Card,19.58
20,2717,2020-03-29 12:52:55,Completed,Apple Pay,0.86
21,1183,2023-06-20 12:54:30,Completed,Credit Card,13.49
22,4903,2024-06-19 18:05:36,Completed,Debit Card,3.95
23,123,2022-12-19 06:27:05,Completed,Debit Card,2.3
24,544,2020-12-15 05:56:26,Completed,Apple Pay,11.61
25,3401,2024-07-25 13:16:50,Completed,Apple Pay,3.36
26,4942,2020-01-03 05:48:30,Cancelled,PayPal,11.91
27,2105,2021-02-02 07:10:52,Completed,PayPal,16.41
28,2995,2020-10-26 11:58:38,Completed,Apple Pay,12.32
29,4680,2021-09-01 20:13:37,Completed,Debit Card,5.48
30,1064,2021-03-19 00:41:37,Completed,Debit Card,16.48
31,777,2023-06-08 16:23:00,Cancelled,PayPal,22.17
32,863,2022-02-15 00:51:25,Completed,Debit Card,6.27
33,2467,2022-10-18 00:06:44,Completed,Apple Pay,16.71
34,4260,2024-05-24 23:10:56,Completed,Google Pay,24.69
35,2186,2021-02-13 04:47:35,Completed,PayPal,10.55
36,1190,2024-12-05 00:51:03,Completed,Credit Card,18.7
37,3155,2020-05-29 04:30:48,Completed,Debit Card,24.49
38,118,2021-03-20 03:27:27,Completed,Credit Card,20.88
39,1949,2021-05-17 23:02:09,Completed,Apple Pay,8.06
40,4687,2024-02-02 17:17:05,Completed,Apple Pay,21.44
41,1539,2024-11-28 07:15:43,Completed,Apple Pay,11.3
42,1760,2023-11-09 00:33:48,Completed,Google Pay,6.57
43,3604,2021-01-01 01:13:51,Completed,PayPal,16.39
44,4215,2022-11-14 02:39:52,Completed,PayPal,24.92
45,1527,2022-03-04 03:23:11,Completed,PayPal,20.17
46,3993,2024-09-01 09:00:32,Completed,Apple Pay,16.58
47,2805,2024-05-31 16:52:57,Returned,PayPal,1.58
48,2994,2023-08-18 03:13:39,Completed,Credit Card,24.12
49,1035,2020-10-20 20:39:30,Completed,Debit Card,24.38
50,911,2021-01-08 16:33:31,Completed,Google Pay,17.82
51,1035,2022-12-16 00:44:32,Completed,PayPal,11.31
52,4533,2020-09-14 18:29:09,Completed,Google Pay,4.57
53,4186,2021-08-28 11:09:20,Cancelled,Debit Card,21.0
54,1818,2020-02-21 22:40:37,Completed,Debit Card,18.34
55,2900,2024-06-20 21:41:20,Completed,Google Pay,19.5
56,4612,2024-07-06 09:32:08,Completed,Google Pay,1.17
57,4368,2023-01-31 17:36:09,Completed,Google Pay,5.76
58,4349,2021-06-02 02:02:23,Completed,PayPal,3.97
59,1357,2021-12-03 22:58:52,Completed,Debit Card,13.52
60,4995,2023-08-10 08:54:18,Completed,Debit Card,6.96
61,3284,2022-07-10 04:22:34,Completed,Apple Pay,22.52
62,3451,2024-01-20 13:49:56,Completed,Apple Pay,8.05
63,2458,2020-01-02 02:22:02,Completed,Credit Card,6.28
64,4553,2022-08-26 02:58:44,Completed,Debit Card,23.08
65,4866,2020-07-26 14:04:23,Completed,Credit Card,18.88
66,1150,2021-03-22 17:52:34,Completed,Apple Pay,20.56
67,1987,2023-04-30 12:50:23,Completed,Debit Card,16.15
68,3204,2021-08-23 18:48:33,Completed,Debit Card,20.86
69,578,2021-12-04 02:31:42,Completed,PayPal,3.51
70,3289,2021-01-18 14:41:47,Completed,Google Pay,23.61
71,1244,2021-10-01 11:52:42,Completed,Apple Pay,3.56
72,2257,2022-10-14 09:53:30,Completed,Credit Card,15.92
73,4265,2022-08-24 17:48:55,Completed,Google Pay,2.57
74,4903,2024-01-03 16:27:28,Completed,Debit Card,16.51
75,2448,2021-01-22 22:34:16,Completed,Google Pay,18.57
76,3723,2021-04-22 10:57:30,Completed,Credit Card,22.01
77,2797,2022-04-25 09:27:15,Completed,Credit Card,9.54
78,2093,2020-12-16 13:46:45,Completed,Apple Pay,10.65
79,1380,2024-02-23 00:01:40,Completed,PayPal,5.62
80,845,2020-10-02 04:28:40,Completed,Google Pay,23.99
81,2971,2022-01-19 16:04:47,Completed,Apple Pay,20.92
82,3543,2023-08-03 02:18:05,Completed,Credit Card,15.95
83,2296,2022-05-07 02:01:57,Completed,PayPal,16.01
84,2694,2023-07-27 19:01:33,Completed,PayPal,24.58
85,681,2020-02-10 03:50:26,Completed,Credit Card,17.83
86,3978,2022-01-24 04:19:14,Completed,Google Pay,12.37
87,4843,2023-09-09 16:00:50,Completed,PayPal,2.6
88,3997,2024-10-07 22:38:30,Completed,Google Pay,20.94
89,3079,2024-05-31 08:58:05,Cancelled,Apple Pay,1.05
90,884,2020-11-02 06:24:49,Completed,Google Pay,2.37
91,1955,2023-01-25 15:48:10,Completed,Google Pay,16.82
92,4947,2023-08-03 13:52:27,Completed,Apple Pay,17.96
93,327,2022-12-15 00:53:49,Completed,Apple Pay,21.31
94,4697,2024-06-12 04:12:46,Completed,Credit Card,23.5
95,3538,2020-03-20 15:53:58,Completed,Debit Card,14.17
96,198,2022-10-19 01:12:11,Completed,Credit Card,7.31
97,3377,2020-03-29 03:45:42,Completed,Apple Pay,21.24
98,2077,2023-01-19 02:19:43,Completed,PayPal,8.81
99,2038,2022-05-09 11:12:45,Completed,Apple Pay,19.59
100,2659,2023-11-24 14:12:33,Completed,PayPal,19.22
101,1316,2021-10-12 12:34:49,Completed,Google Pay,19.27
102,4484,2022-09-27 01:11:52,Cancelled,Apple Pay,18.83
103,1410,2024-04-01 22:30:13,Completed,Credit Card,8.34
104,4410,2021-12-08 00:55:04,Completed,PayPal,20.72
105,830,2020-10-07 23:08:04,Completed,Apple Pay,7.82
106,4074,2021-08-01 11:29:33,Completed,Apple Pay,5.05
107,3977,2022-12-25 06:10:34,Completed,PayPal,20.15
108,2962,2021-05-09 16:06:27,Completed,Debit Card,8.07
109,914,2021-08-12 15:44:59,Completed,Google Pay,7.76
110,4147,2024-10-07 08:48:44,Completed,PayPal,18.92
111,4410,2021-07-06 17:47:23,Completed,Apple Pay,15.46
112,623,2021-09-09 02:09:06,Completed,Credit Card,2.26
113,4899,2023-06-11 03:55:41,Completed,PayPal,3.64
114,2787,2024-07-13 10:31:00,Completed,PayPal,9.92
115,3156,2020-11-17 22:54:58,Completed,PayPal,15.34
116,674,2022-10-03 02:59:03,Completed,Debit Card,11.06
117,335,2022-02-02 23:54:03,Completed,Google Pay,3.88
118,2243,2020-03-22 21:29:00,Completed,Apple Pay,5.61
119,1794,2022-02-01 06:45:04,Completed,Debit Card,11.01
120,1770,2021-03-27 16:04:21,Completed,Credit Card,7.42
121,171,2024-02-10 11:28:04,Completed,Apple Pay,10.36
122,4516,2024-10-30 23:32:24,Completed,Debit Card,10.31
123,4249,2024-12-09 18:42:59,Completed,Apple Pay,15.68
124,3172,2022-03-23 10:16:39,Completed,PayPal,20.09
125,2160,2023-09-02 01:09:18,Completed,PayPal,9.11
126,1923,2022-09-21 16:27:59,Cancelled,Google Pay,8.93
127,1102,2022-09-26 08:53:53,Cancelled,Debit Card,19.89
128,4743,2021-02-04 01:23:25,Completed,Credit Card,24.53
129,4158,2024-01-18 01:34:28,Cancelled,Google Pay,7.84
130,4949,2021-12-08 19:49:12,Completed,PayPal,17.94
131,4539,2021-11-26 19:57:05,Completed,Apple Pay,6.73
132,436,2023-11-30 21:53:50,Completed,Google Pay,10.95
133,4842,2023-09-17 04:15:19,Completed,Credit Card,23.83
134,1404,2020-03-09 17:01:39,Completed,Google Pay,11.21
135,472,2022-12-15 23:09:56,Completed,Apple Pay,21.69
136,1212,2020-07-17 03:32:43,Completed,PayPal,1.64
137,2262,2024-11-05 03:54:35,Completed,PayPal,23.68
