return_id,order_item_id,return_date,return_reason
1,71655,2023-04-30,Changed Mind
2,82747,2023-02-08,Arrived Late
3,3897,2024-12-28,Changed Mind
4,53564,2022-11-14,Arrived Late
5,67139,2020-12-29,Wrong Item
6,101181,2024-06-02,Not as Described
7,23874,2024-08-01,Changed Mind
8,110715,2021-11-03,Not as Described
9,3103,2021-05-28,Damaged
10,2708,2024-06-22,Not as Described
11,33262,2021-10-12,Arrived Late
12,109280,2020-06-01,Changed Mind
13,64781,2021-11-24,Changed Mind
14,87954,2020-02-06,Arrived Late
15,13402,2023-10-23,Changed Mind
16,6528,2020-02-23,Not as Described
17,117469,2023-10-22,Arrived Late
18,106017,2020-09-15,Not as Described
19,78575,2020-05-31,Changed Mind
20,27926,2021-12-08,Changed Mind
21,68904,2024-03-24,Changed Mind
22,11848,2024-05-22,Damaged
23,87359,2020-10-05,Changed Mind
24,107723,2020-12-01,Not as Described
25,4051,2024-11-19,Not as Described
26,29589,2021-02-21,Not as Described
27,94751,2022-07-02,Changed Mind
28,12525,2024-02-16,Arrived Late
29,48942,2022-11-17,Damaged
30,57102,2022-09-02,Arrived Late
31,42035,2021-06-23,Not as Described
32,28915,2023-08-22,Not as Described
33,49992,2023-04-19,Wrong Item
34,102449,2024-03-24,Changed Mind
35,100003,2023-01-13,Changed Mind
36,25183,2022-10-13,Not as Described
37,82184,2024-07-26,Damaged
38,103439,2021-10-03,Damaged
39,25678,2023-11-15,Arrived Late
40,109654,2022-12-20,Not as Described
41,67683,2021-03-04,Wrong Item
42,86746,2022-03-30,Arrived Late
43,34090,2021-09-16,Damaged
44,82458,2024-02-16,Changed Mind
45,99539,2021-12-23,Damaged
46,83026,2020-03-01,Damaged
47,18295,2022-06-30,Arrived Late
48,2624,2023-08-13,Damaged
49,113816,2021-11-09,Wrong Item
50,94495,2023-10-15,Wrong Item
51,25024,2024-06-22,Changed Mind
52,92128,2024-07-12,Changed Mind
53,103740,2023-07-11,Arrived Late
54,66008,2021-10-28,Wrong Item
55,38342,2022-12-07,Damaged
56,103962,2021-04-22,Damaged
57,72195,2024-12-06,Arrived Late
58,21350,2022-10-26,Damaged
59,35638,2020-03-08,Arrived Late
60,60098,2022-10-17,Changed Mind
61,116848,2024-10-25,Wrong Item
62,16639,2023-12-12,Not as Described
63,13090,2024-03-21,Changed Mind
64,2168,2021-03-18,Changed Mind
65,53845,2024-07-12,Damaged
66,11862,2023-07-30,Wrong Item
67,114148,2020-05-26,Arrived Late
68,74210,2021-01-27,Damaged
69,105792,2024-05-05,Not as Described
70,42861,2023-08-24,Not as Described
71,106177,2023-10-27,Wrong Item
72,66353,2021-10-26,Arrived Late
73,66542,2024-01-14,Not as Described
74,71317,2024-01-16,Arrived Late
75,44967,2024-05-01,Wrong Item
76,91332,2020-02-19,Damaged
77,95551,2021-04-13,Changed Mind
78,23838,2024-04-19,Wrong Item
79,32531,2023-07-08,Damaged
80,34598,2021-08-02,Not as Described
81,115155,2022-06-23,Arrived Late
82,40501,2020-03-30,Damaged
83,57676,2024-05-08,Wrong Item
84,49872,2020-09-16,Changed Mind
85,37801,2023-11-22,Damaged
86,45199,2021-09-28,Changed Mind
87,66806,2024-02-24,Arrived Late
88,83108,2023-04-10,Arrived Late
89,40743,2023-05-13,Not as Described
90,101731,2024-01-26,Wrong Item
91,66756,2024-06-02,Wrong Item
92,108143,2020-05-24,Not as Described
93,81338,2021-02-18,Damaged
94,45686,2021-01-26,Changed Mind
95,20916,2021-02-05,Arrived Late
96,90439,2022-02-04,Changed Mind
97,55797,2023-03-18,Damaged
98,70815,2023-04-02,Arrived Late
99,98899,2022-08-23,Changed Mind
100,96041,2023-04-13,Changed Mind
101,11598,2022-05-16,Arrived Late
102,7525,2021-06-02,Wrong Item
103,4546,2022-03-12,Damaged
104,25256,2023-11-15,Changed Mind
105,65174,2020-08-28,Changed Mind
106,36421,2021-09-11,Not as Described
107,87218,2020-07-17,Changed Mind
108,42296,2022-11-13,Wrong Item
109,80954,2020-07-02,Arrived Late
110,21633,2024-04-11,Changed Mind
111,10202,2021-03-22,Damaged
112,60327,2023-04-06,Wrong Item
113,103329,2021-05-15,Changed Mind
114,92466,2023-08-17,Damaged
115,20341,2021-07-11,Damaged
116,22096,2021-03-24,Damaged
117,35333,2020-12-19,Wrong Item
118,80792,2022-05-15,Not as Described
119,106925,2022-09-03,Not as Described
120,20900,2023-10-02,Damaged
121,60881,2021-02-27,Arrived Late
122,53482,2022-06-25,Changed Mind
123,51893,2021-06-22,Damaged
124,10086,2020-04-01,Damaged
125,73935,2022-03-18,Wrong Item
126,65274,2024-12-16,Damaged
127,48254,2020-07-10,Wrong Item
128,46560,2024-06-03,Arrived Late
129,18103,2021-05-15,Wrong Item
130,91977,2021-07-27,Not as Described
131,98740,2023-12-18,Not as Described
132,202,2020-08-25,Damaged
133,50162,2024-12-26,Arrived Late
134,10138,2022-08-27,Changed Mind
135,92672,2021-04-20,Wrong Item
136,14728,2022-01-28,Arrived Late
137,64030,2022-08-11,Arrived Late
138,82121,2023-07-03,Damaged
139,49035,2022-09-05,Wrong Item
140,41655,2021-06-12,Changed Mind
141,81288,2024-03-27,Not as Described
142,84883,2023-06-11,Not as Described
143,42451,2021-01-11,Wrong Item
144,103725,2024-11-09,Not as Described
145,23935,2022-02-26,Arrived Late
146,65683,2022-09-03,Arrived Late
147,62483,2020-02-17,Changed Mind
148,47585,2022-07-22,Changed Mind
149,112961,2024-09-03,Changed Mind
150,46809,2020-02-08,Changed Mind
151,84927,2023-12-09,Arrived Late
152,107708,2024-10-31,Arrived Late
153,33602,2022-03-05,Not as Described
154,106772,2020-08-26,Changed Mind
155,105965,2024-06-03,Changed Mind
156,67132,2024-09-18,Not as Described
157,65521,2020-02-12,Arrived Late
158,3913,2021-03-09,Wrong Item
159,96621,2023-09-04,Wrong Item
160,110118,2023-04-12,Not as Described
161,101617,2021-08-25,Damaged
162,112690,2021-07-02,Not as Described
163,56107,2021-08-19,Arrived Late
164,90974,2022-09-10,Not as Described
165,36676,2022-08-15,Wrong Item
166,63397,2022-07-29,Wrong Item
167,106972,2021-11-21,Damaged
168,69697,2021-08-07,Wrong Item
169,18534,2024-10-02,Damaged
170,18087,2023-02-18,Damaged
171,23987,2021-08-16,Arrived Late
172,44525,2020-01-08,Arrived Late
173,2686,2024-09-11,Damaged
174,57275,2022-11-06,Arrived Late
175,91162,2024-10-12,Damaged
176,4339,2020-10-21,Not as Described
177,93007,2020-04-30,Damaged
178,68708,2020-02-13,Arrived Late
179,103943,2021-09-11,Wrong Item
180,1861,2021-03-18,Damaged
