shipment_id,order_id,shipped_date,delivered_date,carrier
1,1,2021-01-13,2021-01-20,USPS
2,2,2024-03-03,2024-03-07,USPS
3,3,2023-07-15,2023-07-22,Canada Post
4,4,2024-04-27,2024-05-01,DHL
5,5,2020-12-18,2020-12-19,UPS
6,6,2023-07-31,2023-08-04,DHL
7,7,2023-01-09,2023-01-16,FedEx
8,8,2023-09-10,2023-09-16,FedEx
9,9,2023-04-27,2023-05-04,Canada Post
10,10,2022-10-03,2022-10-07,USPS
11,11,2021-07-06,2021-07-11,USPS
12,12,2021-05-02,2021-05-09,DHL
13,13,2020-07-12,2020-07-17,DHL
14,14,2023-02-28,2023-03-02,FedEx
15,15,2023-07-29,2023-08-01,UPS
16,16,2021-04-17,2021-04-21,Canada Post
17,17,2021-05-20,2021-05-27,FedEx
18,19,2022-09-24,2022-09-29,DHL
19,20,2020-03-31,2020-04-06,FedEx
20,21,2023-06-22,2023-06-27,Canada Post
21,22,2024-06-20,2024-06-27,DHL
22,23,2022-12-22,2022-12-27,UPS
23,24,2020-12-19,2020-12-24,USPS
24,25,2024-07-27,2024-08-06,USPS
25,27,2021-02-05,2021-02-11,DHL
26,28,2020-10-28,2020-11-04,DHL
27,29,2021-09-01,2021-09-08,DHL
28,30,2021-03-21,2021-03-26,USPS
29,32,2022-02-17,2022-02-21,DHL
30,33,2022-10-18,2022-10-26,UPS
31,34,2024-05-25,2024-05-30,USPS
32,35,2021-02-14,2021-02-19,Canada Post
33,36,2024-12-09,2024-12-18,UPS
34,37,2020-06-02,2020-06-09,FedEx
35,38,2021-03-25,2021-04-02,USPS
36,39,2021-05-22,2021-05-26,UPS
37,40,2024-02-04,2024-02-06,DHL
38,41,2024-11-29,2024-12-01,UPS
39,42,2023-11-11,2023-11-20,DHL
40,43,2021-01-01,2021-01-06,UPS
41,44,2022-11-15,2022-11-17,UPS
42,45,2022-03-06,2022-03-07,UPS
43,46,2024-09-04,2024-09-07,Canada Post
44,47,2024-06-04,2024-06-11,Canada Post
45,48,2023-08-22,2023-08-28,USPS
46,49,2020-10-25,2020-10-29,FedEx
47,50,2021-01-09,2021-01-15,USPS
48,51,2022-12-18,2022-12-22,Canada Post
49,52,2020-09-15,2020-09-17,USPS
50,54,2020-02-26,2020-03-06,DHL
51,55,2024-06-23,2024-07-03,DHL
52,56,2024-07-07,2024-07-10,USPS
53,57,2023-02-04,2023-02-13,Canada Post
54,58,2021-06-07,2021-06-09,USPS
55,59,2021-12-08,2021-12-16,DHL
56,60,2023-08-11,2023-08-12,DHL
57,61,2022-07-14,2022-07-15,Canada Post
58,62,2024-01-23,2024-01-27,FedEx
59,63,2020-01-03,2020-01-04,DHL
60,64,2022-08-31,2022-09-01,Canada Post
61,65,2020-07-28,2020-07-29,UPS
62,66,2021-03-27,2021-04-02,UPS
63,67,2023-05-04,2023-05-13,FedEx
64,68,2021-08-25,2021-09-02,Canada Post
65,69,2021-12-05,2021-12-15,USPS
66,70,2021-01-18,2021-01-27,FedEx
67,71,2021-10-01,2021-10-10,Canada Post
68,72,2022-10-19,2022-10-23,Canada Post
69,73,2022-08-27,2022-09-06,USPS
70,74,2024-01-07,2024-01-15,UPS
71,75,2021-01-27,2021-02-02,DHL
72,76,2021-04-22,2021-04-30,USPS
73,77,2022-04-30,2022-05-01,DHL
74,78,2020-12-17,2020-12-22,DHL
75,79,2024-02-25,2024-02-26,FedEx
76,80,2020-10-03,2020-10-12,UPS
77,81,2022-01-21,2022-01-31,FedEx
78,82,2023-08-04,2023-08-11,FedEx
79,83,2022-05-12,2022-05-15,Canada Post
80,84,2023-07-27,2023-07-28,USPS
81,85,2020-02-15,2020-02-17,Canada Post
82,86,2022-01-25,2022-02-02,DHL
83,87,2023-09-09,2023-09-18,FedEx
84,88,2024-10-07,2024-10-15,USPS
85,90,2020-11-07,2020-11-11,FedEx
86,91,2023-01-25,2023-01-30,FedEx
87,92,2023-08-07,2023-08-16,FedEx
88,93,2022-12-16,2022-12-18,Canada Post
89,94,2024-06-16,2024-06-24,FedEx
90,95,2020-03-24,2020-03-27,FedEx
91,96,2022-10-23,2022-10-30,UPS
92,97,2020-04-01,2020-04-10,DHL
93,98,2023-01-19,2023-01-25,UPS
94,99,2022-05-12,2022-05-18,FedEx
95,100,2023-11-26,2023-12-06,DHL
96,101,2021-10-16,2021-10-21,FedEx
97,103,2024-04-06,2024-04-10,DHL
98,104,2021-12-09,2021-12-11,UPS
99,105,2020-10-08,2020-10-16,FedEx
100,106,2021-08-03,2021-08-05,USPS
101,107,2022-12-28,2023-01-03,Canada Post
102,108,2021-05-11,2021-05-13,Canada Post
103,109,2021-08-17,2021-08-19,UPS
