supplier_id,supplier_name,contact_email,country
1,Supplier_1,contact1@supplier.com,Germany
2,Supplier_2,contact2@supplier.com,China
3,Supplier_3,contact3@supplier.com,UK
4,Supplier_4,contact4@supplier.com,China
5,Supplier_5,contact5@supplier.com,China
6,Supplier_6,contact6@supplier.com,Canada
7,Supplier_7,contact7@supplier.com,UK
8,Supplier_8,contact8@supplier.com,UK
9,Supplier_9,contact9@supplier.com,UK
10,Supplier_10,contact10@supplier.com,China
11,Supplier_11,contact11@supplier.com,Germany
12,Supplier_12,contact12@supplier.com,UK
13,Supplier_13,contact13@supplier.com,Japan
14,Supplier_14,contact14@supplier.com,China
15,Supplier_15,contact15@supplier.com,Canada
16,Supplier_16,contact16@supplier.com,Germany
17,Supplier_17,contact17@supplier.com,Japan
18,Supplier_18,contact18@supplier.com,Japan
19,Supplier_19,contact19@supplier.com,Canada
20,Supplier_20,contact20@supplier.com,Germany
21,Supplier_21,contact21@supplier.com,China
22,Supplier_22,contact22@supplier.com,USA
23,Supplier_23,contact23@supplier.com,Germany
24,Supplier_24,contact24@supplier.com,Canada
25,Supplier_25,contact25@supplier.com,Japan
26,Supplier_26,contact26@supplier.com,China
27,Supplier_27,contact27@supplier.com,Germany
28,Supplier_28,contact28@supplier.com,USA
29,Supplier_29,contact29@supplier.com,USA
30,Supplier_30,contact30@supplier.com,UK
31,Supplier_31,contact31@supplier.com,UK
32,Supplier_32,contact32@supplier.com,Canada
33,Supplier_33,contact33@supplier.com,Germany
34,Supplier_34,contact34@supplier.com,Germany
35,Supplier_35,contact35@supplier.com,Japan
36,Supplier_36,contact36@supplier.com,Japan
37,Supplier_37,contact37@supplier.com,Japan
38,Supplier_38,contact38@supplier.com,UK
39,Supplier_39,contact39@supplier.com,Germany
40,Supplier_40,contact40@supplier.com,Germany
